WKT,name,description
"POLYGON ((46.761773 24.714486, 46.761778 24.714481, 46.787004 24.730228, 46.802666 24.739942, 46.776511 24.776298, 46.768427 24.771586, 46.7576482 24.7668618, 46.7394745 24.7596056, 46.755384 24.727085, 46.761773 24.714486))",2-Riyadh_Ar Rawdah_8,
"POLYGON ((46.663705 24.728524, 46.664059 24.727814, 46.685189 24.73669, 46.6992248 24.7428245, 46.7031564 24.7439291, 46.6865147 24.7769852, 46.647185 24.760907, 46.663705 24.728524))",28-Riyadh_King Fahad_6,
"POLYGON ((46.790294 24.756817, 46.802666 24.739942, 46.8189079 24.7502031, 46.8304973 24.7575444, 46.8367217 24.7616044, 46.839834 24.7635563, 46.8414015 24.7656641, 46.827298 24.783967, 46.824913 24.787393, 46.820464 24.79345, 46.818235 24.796874, 46.791551 24.78038, 46.789399 24.779411, 46.788101 24.779032, 46.786367 24.778675, 46.783307 24.778246, 46.779999 24.777679, 46.778845 24.777335, 46.777614 24.776841, 46.776511 24.776298, 46.785361 24.764421, 46.784743 24.764033, 46.790294 24.756817))",43-Riyadh_Al Khaleej_8,
"POLYGON ((46.7765152 24.7763155, 46.777659 24.77685, 46.778959 24.777374, 46.779835 24.777635, 46.780585 24.777808, 46.781904 24.778059, 46.784836 24.778479, 46.787071 24.778845, 46.789135 24.779347, 46.79158 24.780385, 46.793161 24.78136, 46.794284 24.78208, 46.799419 24.785226, 46.805644 24.789082, 46.81804 24.796755, 46.808928 24.809266, 46.79785 24.824498, 46.7808161 24.8171837, 46.758026 24.807646, 46.767595 24.788677, 46.768291 24.787493, 46.769295 24.786056, 46.771876 24.782592, 46.7765152 24.7763155))",34-Riyadh_Ishbilya_7,
"POLYGON ((46.738857 24.759832, 46.738889 24.759852, 46.745865 24.762653, 46.759127 24.76772, 46.764183 24.769814, 46.768427 24.771586, 46.769121 24.771897, 46.770993 24.772972, 46.774188 24.774971, 46.776514 24.776298, 46.771912 24.782558, 46.768666 24.786905, 46.767588 24.788701, 46.766408 24.791254, 46.758026 24.807646, 46.7453008 24.802366, 46.722305 24.792593, 46.738857 24.759832))",32-Riyadh_Al Hamra_7,
"POLYGON ((46.7968076 24.6450131, 46.8043667 24.6309661, 46.8369876 24.6445107, 46.8500409 24.6511259, 46.8567405 24.6598941, 46.855888 24.691126, 46.856523 24.691321, 46.856352 24.704869, 46.857287 24.712521, 46.8615335 24.7215477, 46.841884 24.709234, 46.827792 24.700496, 46.823839 24.698782, 46.777563 24.679569, 46.7968076 24.6450131))",51-Riyadh_Al Saadah_13,
"POLYGON ((46.610066 24.824867, 46.608596 24.824298, 46.587176 24.815212, 46.584778 24.814129, 46.582589 24.812695, 46.581071 24.811244, 46.579371 24.809053, 46.575063 24.802002, 46.57443 24.800994, 46.573679 24.800045, 46.572294 24.79891, 46.571372 24.798435, 46.569934 24.798019, 46.56478 24.79686, 46.566008 24.792706, 46.567649 24.786642, 46.56858 24.783897, 46.569843 24.780985, 46.572499 24.774977, 46.5860355 24.7447888, 46.5890982 24.739387, 46.593678 24.738405, 46.5948582 24.7389986, 46.5995291 24.7406733, 46.6155154 24.7476206, 46.6344417 24.7555111, 46.647185 24.760907, 46.615671 24.823465, 46.614111 24.826576, 46.610769 24.825155, 46.610066 24.824867))",N-70-Riyadh_Malaqa_2,
"POLYGON ((46.6585002 24.5156762, 46.6626435 24.5082731, 46.6571761 24.5007704, 46.6618205 24.5026373, 46.663698 24.5015688, 46.667058 24.499822, 46.689085 24.500786, 46.704869 24.528008, 46.670592 24.55126, 46.6531652 24.5660393, 46.6447934 24.560373, 46.644562 24.554302, 46.637231 24.5513674, 46.6308468 24.5462021, 46.6386054 24.5401126, 46.6333073 24.5335097, 46.6367643 24.5217525, 46.6473644 24.520464, 46.6550113 24.5187688, 46.6585002 24.5156762))",110-Riyadh_Al Marwah_14,
"POLYGON ((46.60328 24.451834, 46.605096 24.451463, 46.606955 24.451248, 46.609524 24.451102, 46.614396 24.45147, 46.611893 24.457823, 46.610738 24.461341, 46.610527 24.463492, 46.610706 24.465841, 46.6114 24.468033, 46.613188 24.471491, 46.6593693 24.4948327, 46.6571761 24.5007704, 46.6626435 24.5082731, 46.6585002 24.5156762, 46.6550113 24.5187688, 46.6481907 24.5204902, 46.6290574 24.5147361, 46.619178 24.5114521, 46.6134176 24.5237863, 46.601276 24.524148, 46.566313 24.470021, 46.582963 24.461646, 46.598261 24.453555, 46.601371 24.452367, 46.60328 24.451834))",109-Riyadh_Dirab_14,
"GEOMETRYCOLLECTION (POLYGON ((46.8414015 24.7656641, 46.8412763 24.7655062, 46.8415333 24.7654872, 46.8414015 24.7656641)), POLYGON ((46.8414015 24.7656641, 46.8464263 24.7720002, 46.8517053 24.7793902, 46.8579063 24.7878642, 46.8588893 24.7895102, 46.8592083 24.7908842, 46.8615394 24.7923852, 46.8614253 24.7911952, 46.8633421 24.7946887, 46.8663466 24.7990395, 46.8709663 24.8054613, 46.8760129 24.8124595, 46.8846351 24.8243877, 46.8941195 24.8366232, 46.8843089 24.8424503, 46.8654594 24.8450825, 46.8540374 24.8321362, 46.8457073 24.8191892, 46.8333012 24.8134142, 46.8319132 24.8126482, 46.8247392 24.8077462, 46.8237742 24.8068442, 46.8193681 24.8035842, 46.8152911 24.8008642, 46.8156771 24.8005982, 46.8181231 24.7973512, 46.8293962 24.7817542, 46.8334012 24.7763962, 46.8414015 24.7656641)))",133-Riyadh_Al Maizilah_8,
